country_code,country_name,country_alias
AFG,Afghanistan,Afghanistan
AFN,Africa n.s.,
ALB,Albania,Albania
ALG,Algeria,Algeria
ASM,American Samoa,American Samoa
AND,Andorra,Andorra
ANG,Angola,Angola
ANT,Antigua and Barbuda,Antigua and Barbuda
ARG,Argentina,Argentina
ARM,Armenia,Armenia
ARU,Aruba,Aruba
ASN,Asia n.s.,
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BHM,"Bahamas, The",Bahamas
BHR,Bahrain,Bahrain
BAN,Bangladesh,Bangladesh
BAR,Barbados,Barbados
BLR,Belarus,Belarus
BEL,Belgium,Belgium
BLX,Belgium-Luxembourg,Belgium-Luxembourg
BLN,Belguim-Lexumbourg n.s.,
BLZ,Belize,Belize
BEN,Benin,Benin
BER,Bermuda,Bermuda
BHU,Bhutan,Bhutan
BOL,Bolivia,Bolivia
BIH,Bosnia and Herzegovina,Bosnia-Herzegovina
BOT,Botswana,Botswana
BRA,Brazil,Brazil
BRU,Brunei Darussalam,Brunei
BUL,Bulgaria,Bulgaria
BUF,Burkina Faso,Burkina Faso
BDI,Burundi,Burundi
CAM,Cambodia,Cambodia
CMR,Cameroon,Cameroon
CAN,Canada,Canada
CPV,Cape Verde,Cape Verde
CAY,Cayman Islands,Cayman Is.
CAR,Central African Republic,Central African Rep.
CHA,Chad,Chad
CHI,Channel Islands,Channel Islands
CHL,Chile,Chile
PRC,"China, People's Rep. of","China, People's Rep. of"
COL,Colombia,Colombia
COM,Comoros,Comoros
ZAI,"Congo, Democratic Republic of","Congo, Dem. Rep. of"
CON,"Congo, Republic of the","Congo, Rep. of the"
COO,Cook Islands,Cook Islands
COS,Costa Rica,Costa Rica
IVC,Cote d'Ivoire,Ivory Coast
CRO,Croatia,Croatia
CUB,Cuba,Cuba
CYP,Cyprus,Cyprus
CZR,Czech Republic,Czech Republic
CZN,Czechchoslovakia n.s.,
CZE,Czechoslovakia,Czechoslovakia
DEN,Denmark,Denmark
DJI,Djibouti,Djibouti
DOM,Dominica,Dominica
DOR,Dominican Republic,Dominican Republic
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
ELS,El Salvador,El Salvador
EQG,Equatorial Guinea,Equatorial Guinea
ERI,Eritrea,Eritrea
EST,Estonia,Estonia
ETH,Ethiopia,Ethiopia
EUA,Euro Area,Euro Zone
ENS,Europe n.s.,
FAE,Faeroe Islands,Faeroe Islands
FAL,Falklands Islands,Falklands Islands
FIJ,Fiji,Fiji
FIN,Finland,Finland
FRA,France,France
FPO,French Polynesia,French Polynesia
GAB,Gabon,Gabon
GAM,"Gambia, The",Gambia
GEO,Georgia,Georgia
GER,Germany,Germany
GDR,"Germany, Eastern",Eastern Germany
GHA,Ghana,Ghana
GIB,Gibraltar,Gibraltar
GRC,Greece,Greece
GRN,Greenland,Greenland
GRD,Grenada,Grenada
GDL,Guadeloupe,Guadeloupe
GUA,Guam,Guam
GTM,Guatemala,Guatemala
GUF,"Guiana, French","Guiana, French"
GUI,Guinea,Guinea
GUB,Guinea-Bissau,Guinea-Bissau
GUY,Guyana,Guyana
HAI,Haiti,Haiti
HND,Honduras,Honduras
HKG,"Hong Kong, China","Hong Kong, China"
HUN,Hungary,Hungary
ICE,Iceland,Iceland
IND,India,India
